"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
6463011,'LPSE Kementerian Keuangan Jawa Barat',1279892000,1279619000,1203124000,'PT. SUBUR JAYA MUKTI','PT. WIKA PRATAMA',1204047000,C0
6464011,'LPSE Kementerian Keuangan Jawa Barat',187359000,187000000,179880000,'tandang makalangan','TRIO CONSTRUCTOR',161721000,C0
6465011,'LPSE Kementerian Keuangan Jawa Barat',261000000,197139000,167054000,'CV. RIOLA UTAMA','CV. TATA SARANA KARYA',184500000,C0
6466011,'Sekretariat Presiden Jakarta',316449000,316449000,265302400,'PT. Getra Abadi Mandiri','PT Prasugi Supramas',268865168,C0
6469011,'LPSE Kementerian Keuangan Jawa Barat',1279892000,1276000000,1153090000,'PT. SUBUR JAYA MUKTI','PT. WIKA PRATAMA',1178490000,C0
6474011,'Sekretariat Jenderal Kementerian Keuangan',750000000,745937500,0,'PT. Sumberdaya Dian Mandiri','PT Aneka Search Indonesia',561006600,C0
6474011,'Sekretariat Jenderal Kementerian Keuangan',750000000,745937500,0,'PT. Sumberdaya Dian Mandiri','PT Mitraniaga Ciptasolusi',743457000,C0
6475011,'Lembaga Administrasi Negara',150932000,147050000,142340000,'CV. MULTI SKINDO UTAMA','Sendang Sono',146107500,C0
6476011,'Lembaga Sandi Negara',325000000,319192500,0,'PT. Teknoglobal Multi Sistem Integrasi','PT. Maza Pradita Sarana',278850000,C0
6476011,'Lembaga Sandi Negara',325000000,319192500,0,'PT. Teknoglobal Multi Sistem Integrasi','PT.POSITIVE MANAGEMENT CONSULTING',250552500,C0
6477011,'Lembaga Sandi Negara',100000000,99990000,0,'CV. MAHONI','HUDA TATA SARANA',98378775,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','BANGUN JAYA',778700000,C0
