"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
10011,'Sekretariat Jenderal Kementerian Keuangan',1914135,1907100,1573196,'PT. Berca Hardayaperkasa','PT. Mastersystem Infotama',1610620,C0
10011,'Sekretariat Jenderal Kementerian Keuangan',1914135,1907100,1573196,'PT. Berca Hardayaperkasa','PT. QUADRA SOLUTION',1638178,C0
11011,'Sekretariat Jenderal Kementerian Keuangan',1340000,1035099,1065900,'PT. Swadharma Duta Data','PT. Mastersystem Infotama',1089968,C0
19011,'Sekretariat Jenderal Kementerian Keuangan',800000,763345,347347,'PT. INDONESIA COMNETS PLUS','PT. Telekomunikasi Indonesia Tbk.',395696,C0
20011,'Sekretariat Jenderal Kementerian Keuangan',1150000,1070834,820487,'PT. Telekomunikasi Indonesia Tbk.','PT Indosat Tbk',919116,C0
20011,'Sekretariat Jenderal Kementerian Keuangan',1150000,1070834,820487,'PT. Telekomunikasi Indonesia Tbk.','PT. INDONESIA COMNETS PLUS',640200,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT NUSANTARA COMPNET INTEGRATOR',457246,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. Mastersystem Infotama',486096,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. METROCOM GLOBAL SOLUSI',451127,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. PERNADI WIRAPERKASA',428392,C0
24011,'Sekretariat Jenderal Kementerian Keuangan',2350000,2236211,1234893,'PT. Lion Metal Works Tbk.','INDOVICKERS FURNITAMA',1430000,C0
24011,'Sekretariat Jenderal Kementerian Keuangan',2350000,2236211,1234893,'PT. Lion Metal Works Tbk.','PT. Karya Mega Kencana',1290990,C0
27011,'Sekretariat Jenderal Kementerian Keuangan',1000000,987980,949121,'PT CIPTA CITRA SENINDO','PT MEDIATAMA CIPTACITRA',950552,C0
27011,'Sekretariat Jenderal Kementerian Keuangan',1000000,987980,949121,'PT CIPTA CITRA SENINDO','Transito Adiman Jati',995337,C0
28011,'Sekretariat Jenderal Kementerian Keuangan',1800000,1759142,1462754,'PT CIPTA CITRA SENINDO','PELITA ALEMBANA',1659993,C0
28011,'Sekretariat Jenderal Kementerian Keuangan',1800000,1759142,1462754,'PT CIPTA CITRA SENINDO','PT MEDIATAMA CIPTACITRA',1697908,C0
32011,'Sekretariat Jenderal Kementerian Keuangan',900000,786576,746416,'PT Astra Graphia Information Technology','PT. Universal System',809886,C0
39011,'Sekretariat Jenderal Kementerian Keuangan',600000,539332,495240,'PELITA ALEMBANA','PT CIPTA CITRA SENINDO',573407,C0
39011,'Sekretariat Jenderal Kementerian Keuangan',600000,539332,495240,'PELITA ALEMBANA','PT MEDIATAMA CIPTACITRA',528715,C0
41011,'Direktorat Jenderal Pajak',250000,222500,220000,'PT. Mitra Integrasi Informatika','PT. Mastersystem Infotama',248050,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT LINCE ROMAULI RAYA',2729131,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. ADHI KARYA (Persero) Tbk',2927959,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. GUNAKARYA NUSANTARA',3028914,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2979364,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. SARI JATI ADHITAMA',2392825,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. UTOMO LADJU',2866195,C0
45011,'Direktorat Jenderal Pajak',640000,627467,492800,'PT Tata Bisnis Solusi','PT Adicipta Inovasi Teknologi',499202,C0
46011,'Direktorat Jenderal Pajak',530000,458054,360277,'INDOVICKERS FURNITAMA',Rakaditu,274457,C0
50011,'Sekretariat Jenderal Kementerian Keuangan',500000,481487,434059,'PT MEDIATAMA CIPTACITRA','PT CIPTA CITRA SENINDO',434353,C0
54011,'Badan Pendidikan dan Pelatihan Keuangan',856755,856611,812619,'Intraco Lestari','PT. HIMINDO CITRA MANDIRI',842500,C0
56011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',600000000,510000000,157300000,'PT. Cyber Network Indonesia','Jasa Jejaring Wasantara',484000000,C0
56011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',600000000,510000000,157300000,'PT. Cyber Network Indonesia','PT. INDONESIA COMNETS PLUS',303050000,C0
63011,'Direktorat Jenderal Perbendaharaan',2460500,2460475,2155225,'PT. Wahana Ciptasinatria','PT. Universal System',2353073,C0
66011,'Badan Pendidikan dan Pelatihan Keuangan',560645,560228,489023,'PT. Mutu Garansi Prima','DESTRA PURNA KATRA',494736,C0
66011,'Badan Pendidikan dan Pelatihan Keuangan',560645,560228,489023,'PT. Mutu Garansi Prima','karya nusa internasional pt.',518511,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT NUSANTARA COMPNET INTEGRATOR',3144680,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. ADHISAKTI SOLUSI KOMPUTINDO',2741750,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. ASTRA GRAPHIA TBK',3004365,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. CITRATHIRZA ASTARIJAYA',3172940,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. Mastersystem Infotama',3182073,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. Wahana Ciptasinatria',3199999,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. ADHISAKTI SOLUSI KOMPUTINDO',2068000,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. ASTRA GRAPHIA TBK',1765986,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. Mastersystem Infotama',2077038,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. PRIMA INTEGRASI NETWORK',2069933,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. Swadharma Duta Data',1999250,C0
74011,'Badan Pendidikan dan Pelatihan Keuangan',2805280,2802438,2765500,'PT. Waskita Karya','PT. BANGUN KHARISMA PRIMA',2800000,C0
74011,'Badan Pendidikan dan Pelatihan Keuangan',2805280,2802438,2765500,'PT. Waskita Karya','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2795000,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. CAHAYA SAKTI INVESTINDO SUKSES',1062697,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. Citra Heber Sejahtera',1199691,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. Langgeng Cakramukti',1136111,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','Emerio Indonesia',1631850,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT LIMAWIRA WISESA',1487132,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT. Agra Sinergi Selaras',1407201,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT. Mitra Integrasi Informatika',1372595,C0
80011,'Badan Pendidikan dan Pelatihan Keuangan',583466,580000,522200,'PT. HIMINDO CITRA MANDIRI','Intraco Lestari',559800,C0
87011,'Sekretariat Jenderal Kementerian Keuangan',2790937,1605700,1263680,'PT. ADHI KARYA (Persero) Tbk','PT. GRAHAPARAMA SANTOSA',1449986,C0
87011,'Sekretariat Jenderal Kementerian Keuangan',2790937,1605700,1263680,'PT. ADHI KARYA (Persero) Tbk','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',1343374,C0
92011,'Badan Pendidikan dan Pelatihan Keuangan',2043640,2043600,1971620,'PT. UTOMO LADJU','PT WIJAYA KARYA (Persero) Tbk.',2021732,C0
92011,'Badan Pendidikan dan Pelatihan Keuangan',2043640,2043600,1971620,'PT. UTOMO LADJU','PT. DIRGA MULYA YASA',1953880,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT WIJAYA KARYA (Persero) Tbk.',2322943,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2355463,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT. UTOMO LADJU',2293505,C0
94011,'Badan Pendidikan dan Pelatihan Keuangan',682607,682600,590435,'SARANA KARYAJASA','PT. Gokma Parulian Perkasa',564582,C0
95011,'Badan Pendidikan dan Pelatihan Keuangan',233263,233200,2030718800,'PT. TAMA CITRA MANDIRI','PT Bona Dupang Soaloon',219500,C0
95011,'Badan Pendidikan dan Pelatihan Keuangan',233263,233200,2030718800,'PT. TAMA CITRA MANDIRI','SAKA JAGAD PRATAMA',1841849000,C0
96011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1645184024,1645184024,1443387935,'PT. Bina Satria Agung Perkasa','Libs Dimensi Kreasindo',1596011000,C0
96011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1645184024,1645184024,1443387935,'PT. Bina Satria Agung Perkasa','PT. GRAHAPARAMA SANTOSA',1577364667,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT Young Industry Indonesia',1027972161,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT. CAHAYA SAKTI INVESTINDO SUKSES',1306700439,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT. Citra Heber Sejahtera',1311706000,C0
101011,'Bapepam - LK',586238750,586118500,473574763,'KARYA TIGA MITRA','CV Le Peridien',475744940,C0
101011,'Bapepam - LK',586238750,586118500,473574763,'KARYA TIGA MITRA','CV. ANJELLA MUKTI',495225500,C0
104011,'Direktorat Jenderal Bea dan Cukai',1759761000,1759761000,1508558436,'PT. Sisindokom Lintasbuana','PT. Mitra Integrasi Informatika',1582498094,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. Berca Hardayaperkasa',1139564,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. CITRATHIRZA ASTARIJAYA',810612,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. Wahana Ciptasinatria',881210,C0
110011,'Direktorat Jenderal Pajak',2946800,2693212,2684000,'PT WIJAYA KARYA INTRADE','PT. Bumiloka Tegar Perkasa',2397033,C0
111011,'Direktorat Jenderal Pajak',2869680,2610425,2404487,'PT. Bumiloka Tegar Perkasa','PT Budi Arta Sakti',2520100,C0
120011,'Direktorat Jenderal Pajak',1267856000,1100000000,1089000000,'PT Cahaya Froudita Expert','PT. Multi Utama Indojasa',1140150000,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','P.T. Mitra Infosarana',1655500,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT NUSANTARA COMPNET INTEGRATOR',1696565,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. ASTRA GRAPHIA TBK',1505079,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. Berca Hardayaperkasa',1799356,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. CITRATHIRZA ASTARIJAYA',1630530,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. Esa Mandiri Teknologi',1637320,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. Swadharma Duta Data',1742730,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT. Universal System',1666744,C0
122011,'Direktorat Jenderal Pajak',1893636,1709437,1657995,'PT. Wahana Ciptasinatria','PT.Wira Eka Bhakti',1501551,C0
123011,'Direktorat Jenderal Pajak',1854580,1674180,1840029,'PT. Berca Hardayaperkasa','PT. ASTRA GRAPHIA TBK',1527853,C0
124011,'Direktorat Jenderal Pajak',509752,440159,453860,'PT. CITRATHIRZA ASTARIJAYA','PT. Mitra Integrasi Informatika',485724,C0
124011,'Direktorat Jenderal Pajak',509752,440159,453860,'PT. CITRATHIRZA ASTARIJAYA','PT. PRIMA INTEGRASI NETWORK',469983,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','P.T. Mitra Infosarana',1565960,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT Astra Graphia Information Technology',1566000,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT INDUSTRI TELEKOMUNIKASI INDONESIA (PERSERO)',1500532,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT MITRA INTEGRASI KOMPUTINDO',1524600,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT NUSANTARA COMPNET INTEGRATOR',1488743,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT. CITRATHIRZA ASTARIJAYA',1557856,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT. Duta Astakona Girinda',1540000,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT. Mitra Integrasi Informatika',1646095,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT. Multidata Rancana Prima',1563650,C0
125011,'Direktorat Jenderal Pajak',1886281,1568757,1463000,'PT. QUADRA SOLUTION','PT. Universal System',1489533,C0
127011,'Direktorat Jenderal Bea dan Cukai',440000,440000,418000,'PT. MULIA JAYA REJEKI','PT. LUMBAN AMBAR BERBAKTI',423500,C0
127011,'Direktorat Jenderal Bea dan Cukai',440000,440000,418000,'PT. MULIA JAYA REJEKI','PT. YOSI KARISMA GEMILANG',423500,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','P.T. Mitra Infosarana',2689500,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','PT NIAGAPRIMA PARAMITRA',2485700,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','PT. Asaba Computer Centre',3531852,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','PT. Berca Hardayaperkasa',2109250,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','PT. Multipolar Tbk',2450000,C0
128011,'Direktorat Jenderal Pajak',4495532,2998082,2095500,'PT. Sistemindo Teknotama Mandiri','PT. Wahana Ciptasinatria',2788170,C0
129011,'Direktorat Jenderal Pajak',1564297,1124856,1149887,'PT. Universal System','PT. Mitra Integrasi Informatika',1015004,C0
129011,'Direktorat Jenderal Pajak',1564297,1124856,1149887,'PT. Universal System','PT. Multipolar Tbk',990055,C0
129011,'Direktorat Jenderal Pajak',1564297,1124856,1149887,'PT. Universal System','PT. Wahana Ciptasinatria',1230020,C0
130011,'Sekretariat Jenderal Kementerian Keuangan',221200,216000,1879095000,'MAHA MITRA KARYA','PT. Mutu Garansi Prima',1940970000,C0
132011,'Sekretariat Jenderal Kementerian Keuangan',1400000000,1275725000,1059451800,'PT Hakuhodo Indonesia','PT CIPTA CITRA SENINDO',1399999999,C0
132011,'Sekretariat Jenderal Kementerian Keuangan',1400000000,1275725000,1059451800,'PT Hakuhodo Indonesia','PT MEDIATAMA CIPTACITRA',1349975000,C0
134011,'Sekretariat Jenderal Kementerian Keuangan',2030000,1923560,1542440,'Pt. Nuren Samijaya','PT. ADHI KARYA (Persero) Tbk',1674800,C0
140011,'Direktorat Jenderal Pajak',220747,1826686000,1898600000,'PT NUSANTARA COMPNET INTEGRATOR','PT. Mitra Integrasi Informatika',220386,C0
142011,'Direktorat Jenderal Pajak',3120704,2079870,1952500,'PT. Duta Astakona Girinda','P.T. Mitra Infosarana',2073569,C0
146011,'Direktorat Jenderal Pajak',1251644,971440,847665,'PT. Berca Hardayaperkasa','PT Adicipta Inovasi Teknologi',778900,C0
146011,'Direktorat Jenderal Pajak',1251644,971440,847665,'PT. Berca Hardayaperkasa','PT NUSANTARA COMPNET INTEGRATOR',958650,C0
146011,'Direktorat Jenderal Pajak',1251644,971440,847665,'PT. Berca Hardayaperkasa','PT. Universal System',781000,C0
146011,'Direktorat Jenderal Pajak',1251644,971440,847665,'PT. Berca Hardayaperkasa','PT. Wahana Ciptasinatria',874280,C0
148011,'Direktorat Jenderal Pajak',258003,241540,235239,'PT. Arjuna Sinatria Amarta','P.T. Mitra Infosarana',235565,C0
152011,'Direktorat Jenderal Pajak',320000,320000,1386528000,'PT. Karya Mega Kencana','PT. CAHAYA SAKTI INVESTINDO SUKSES',215781,C0
153011,'Direktorat Jenderal Pajak',380000,380000,282686,'PT. Karya Mega Kencana','PT. CAHAYA SAKTI INVESTINDO SUKSES',328076,C0
153011,'Direktorat Jenderal Pajak',380000,380000,282686,'PT. Karya Mega Kencana','PT. Citra Heber Sejahtera',324241,C0
153011,'Direktorat Jenderal Pajak',380000,380000,282686,'PT. Karya Mega Kencana','PT. Datascrip',264099,C0
153011,'Direktorat Jenderal Pajak',380000,380000,282686,'PT. Karya Mega Kencana',Rakaditu,342326,C0
156011,'Direktorat Jenderal Anggaran',1748000000,1715981513,1646205000,'PT. Mitra Integrasi Informatika','PT Tata Bisnis Solusi',1310100000,C0
156011,'Direktorat Jenderal Anggaran',1748000000,1715981513,1646205000,'PT. Mitra Integrasi Informatika','PT. Berca Hardayaperkasa',1349737950,C0
156011,'Direktorat Jenderal Anggaran',1748000000,1715981513,1646205000,'PT. Mitra Integrasi Informatika','PT. CITRATHIRZA ASTARIJAYA',1375000000,C0
156011,'Direktorat Jenderal Anggaran',1748000000,1715981513,1646205000,'PT. Mitra Integrasi Informatika','PT. Teknoglobal Multi Sistem Integrasi',1177990000,C0
163011,'Direktorat Jenderal Bea dan Cukai',494133,353879,227601,'PT. SINAR GLOBAL MULIA','elya berkat',252058,C0
169011,'Direktorat Jenderal Pajak',1500000000,1460500000,1266050500,'PT. TRINET PRIMA SOLUSI','PT. MULTISOFT JAVA TECHNOLOGIES',1328300000,C0
169011,'Direktorat Jenderal Pajak',1500000000,1460500000,1266050500,'PT. TRINET PRIMA SOLUSI','PT. PRIMA INTEGRASI NETWORK',1350800000,C0
177011,'Badan Pendidikan dan Pelatihan Keuangan',1169000000,1159528674,1034248050,Rakaditu,'PT. KARYA GRAHA UNGGULAGUNG',1113314840,C0
177011,'Badan Pendidikan dan Pelatihan Keuangan',1169000000,1159528674,1034248050,Rakaditu,'PT. Mutu Garansi Prima',1120357700,C0
184011,'Direktorat Jenderal Bea dan Cukai',2074388000,2036600850,1984950000,'PT. IFANI DEWI','PT. TRITUNGGAL BERKAT ABADI',2002450000,C0
185011,'Sekretariat Jenderal Kementerian Keuangan',2357431,2248250,1854808,'PT. QUADRA SOLUTION','PT. Berca Hardayaperkasa',2068000,C0
185011,'Sekretariat Jenderal Kementerian Keuangan',2357431,2248250,1854808,'PT. QUADRA SOLUTION','PT. Mastersystem Infotama',2068000,C0
188011,'Direktorat Jenderal Bea dan Cukai',256537,256537,215006,'P.T. Mitra Infosarana','PT INTIKOM BERLIAN MUSTIKA',219710,C0
188011,'Direktorat Jenderal Bea dan Cukai',256537,256537,215006,'P.T. Mitra Infosarana','PT. METROCOM GLOBAL SOLUSI',231016,C0
188011,'Direktorat Jenderal Bea dan Cukai',256537,256537,215006,'P.T. Mitra Infosarana','PT. NANO INFORMATION TECHNOLOGY',235452,C0
191011,'Badan Pendidikan dan Pelatihan Keuangan',623000000,622379450,549784125,'CV. ROMA','PT. Lestarijaya Ekapertiwi',554527050,C0
193011,'Direktorat Jenderal Bea dan Cukai',494000000,494000000,390005000,'P.T. Mitra Infosarana','PT INTIKOM BERLIAN MUSTIKA',404338990,C0
193011,'Direktorat Jenderal Bea dan Cukai',494000000,494000000,390005000,'P.T. Mitra Infosarana','PT.BINAREKA TATAMANDIRI',434500000,C0
202011,'Bapepam - LK',1150000000,1145110450,1083716700,'PT Softbless Solutions','CV. Agung Lima Putra Kencana',1117274675,C0
202011,'Bapepam - LK',1150000000,1145110450,1083716700,'PT Softbless Solutions','PT. Persada Inti Sarana',1050829643,C0
203011,'Sekretariat Jenderal Kementerian Keuangan',504790,504440,403546,'PT. Public Sector Indonesia','PT. Emtres Indonesia',451680,C0
203011,'Sekretariat Jenderal Kementerian Keuangan',504790,504440,403546,'PT. Public Sector Indonesia','PT. METROCOM GLOBAL SOLUSI',420122,C0
203011,'Sekretariat Jenderal Kementerian Keuangan',504790,504440,403546,'PT. Public Sector Indonesia','PT. PERNADI WIRAPERKASA',443907,C0
204011,'Sekretariat Jenderal Kementerian Keuangan',426682,393040,324059,'PT. Mitra Integrasi Informatika','PT. CITRATHIRZA ASTARIJAYA',350217,C0
204011,'Sekretariat Jenderal Kementerian Keuangan',426682,393040,324059,'PT. Mitra Integrasi Informatika','PT. Mastersystem Infotama',365502,C0
208011,'Bapepam - LK',880000000,797500000,552338820,'CV. Inti Sejati','CV.ciptasarana infotech',638330000,C0
209011,'Direktorat Jenderal Perbendaharaan',670000,663731,635854,'PT LIMAWIRA WISESA','PT. Arjuna Sinatria Amarta',643819,C0
215011,'Bapepam - LK',865392000,865299600,855228000,'PT. SETIAWAN KUMALAGIRI','CV. MASTERINDO PRORENTAMA',860768040,C0
219011,'Direktorat Jenderal Anggaran',1460000000,1458982849,1284954600,'PT. Daya Sgracipta','PT.SAPTA SARANA SEJAHTERA',1347602000,C0
222011,'Bapepam - LK',1020000000,1020000000,702952800,'PT. Telekomunikasi Indonesia Tbk.','PT INDOSAT MEGA MEDIA',989406000,C0
232011,'Bapepam - LK',398640000,398260280,398103200,'PT. CAKRA KURNIA NUSANTARA','PT. DAYA CIPTA WIRA MANDIRI',358444338,C0
237011,'Direktorat Jenderal Anggaran',1350000000,1200000000,880508200,'PT. ASTRA GRAPHIA TBK','GARUDA MAS RENTALINDO',916650900,C0
239011,'Badan Pendidikan dan Pelatihan Keuangan',263908,263908,228191,'PT. ANANTO JEMPIETER','PT. Citra Heber Sejahtera',236112,C0
239011,'Badan Pendidikan dan Pelatihan Keuangan',263908,263908,228191,'PT. ANANTO JEMPIETER','PT. Mutu Garansi Prima',236094,C0
242011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',550000000,550000000,223300000,'PT. Cyber Network Indonesia','Jasa Jejaring Wasantara',495000000,C0
242011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',550000000,550000000,223300000,'PT. Cyber Network Indonesia','PT Aplikanusa Lintasarta',349135417,C0
242011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',550000000,550000000,223300000,'PT. Cyber Network Indonesia','PT. INDONESIA COMNETS PLUS',547250000,C0
247011,'Sekretariat Jenderal Kementerian Keuangan',622500,604451,470016,'PT. Telekomunikasi Indonesia Tbk.','PT Aplikanusa Lintasarta',415910,C0
251011,'Sekretariat Jenderal Kementerian Keuangan',1100000,994372,751093,'PT. Telekomunikasi Indonesia Tbk.','PT Indosat Tbk',910910,C0
253011,'Badan Pendidikan dan Pelatihan Keuangan',472869000,469970000,422070000,'CV. MULTI SKINDO UTAMA','PT.Commercial Technology Indonesia',442677800,C0
255011,'Direktorat Jenderal Pajak',2000000,1998190,1876490,'PT. Demi Gisela Citra Utama','PT Cinggarindo Galba',1892591,C0
255011,'Direktorat Jenderal Pajak',2000000,1998190,1876490,'PT. Demi Gisela Citra Utama','PT MEDIATAMA CIPTACITRA',1968910,C0
255011,'Direktorat Jenderal Pajak',2000000,1998190,1876490,'PT. Demi Gisela Citra Utama','PT. BINTANG COMMUNICATIONS',1999653,C0
255011,'Direktorat Jenderal Pajak',2000000,1998190,1876490,'PT. Demi Gisela Citra Utama','PT.Auvikomunikasi Media Prima',1994861,C0
256011,'Direktorat Jenderal Pajak',1670000,1665840,1587203,'Transito Adiman Jati','PT CIPTA CITRA SENINDO',1650619,C0
256011,'Direktorat Jenderal Pajak',1670000,1665840,1587203,'Transito Adiman Jati','PT MEDIATAMA CIPTACITRA',1637076,C0
257011,'Pusat Pelaporan dan Analisis Transaksi Keuangan',437355050,437355050,336837600,'PT. Lestarijaya Ekapertiwi','CV. ILLONA Solusindo',374666270,C0
257011,'Pusat Pelaporan dan Analisis Transaksi Keuangan',437355050,437355050,336837600,'PT. Lestarijaya Ekapertiwi','CV. MERZYITA',342486430,C0
257011,'Pusat Pelaporan dan Analisis Transaksi Keuangan',437355050,437355050,336837600,'PT. Lestarijaya Ekapertiwi','MASOLA SEJAHTERA',392092077,C0
257011,'Pusat Pelaporan dan Analisis Transaksi Keuangan',437355050,437355050,336837600,'PT. Lestarijaya Ekapertiwi','PT. KARYA PRIMA BAYAKTA',338074825,C0
257011,'Pusat Pelaporan dan Analisis Transaksi Keuangan',437355050,437355050,336837600,'PT. Lestarijaya Ekapertiwi','PT. Perwira Sentra Officindo',416598678,C0
258011,'Badan Pendidikan dan Pelatihan Keuangan',1832650000,1831137000,1381798000,'PT. Multi Manunggal','PT. Karya Mega Kencana',1598938000,C0
258011,'Badan Pendidikan dan Pelatihan Keuangan',1832650000,1831137000,1381798000,'PT. Multi Manunggal','PT. MATARINDO KREASISARANA',1474979000,C0
258011,'Badan Pendidikan dan Pelatihan Keuangan',1832650000,1831137000,1381798000,'PT. Multi Manunggal','PT. MENARA SETIA',1466300000,C0
